IDCliente,Nombre,Ciudad
C001,Ana Torres,Medellín
C002,Carlos Gómez,Bogotá
C003,Laura Martínez,Cali
C004,Juan Pérez,Medellín
C005,Sofía Ramírez,Barranquilla
C006,Andrés López,Medellín
C007,Valentina Rojas,Bogotá
C008,Mateo Hernández,Cartagena
C009,Camila Castro,Cali
C010,Daniel Moreno,Medellín
C011,Mariana Díaz,Pereira
C012,Sebastián Vargas,Bogotá
C013,Natalia Ruiz,Medellín
C014,Felipe Restrepo,Manizales
C015,Isabella Mejía,Cali
C016,Santiago Ospina,Medellín
C017,Gabriela Suárez,Bogotá
C018,Nicolás Arias,Bucaramanga
C019,Paula Cardona,Medellín
C020,David Cárdenas,Cali
C021,Manuela Giraldo,Barranquilla
C022,Alejandro Salazar,Medellín
C023,Sara Quintero,Bogotá
C024,Tomás Bedoya,Pereira
C025,Juliana Vélez,Medellín
C026,Esteban Marín,Cali
C027,Daniela Pineda,Bogotá
C028,Samuel Correa,Medellín
C029,Luciana Molina,Cartagena
C030,Emilio Franco,Manizales
